City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Prescott,US,2021-02-07 14:38:41,34.54,-112.4685,26.6,63,1,6.91
1,Barrow,US,2021-02-07 14:38:41,71.2906,-156.7887,-18.4,69,75,11.5
2,Vaini,TO,2021-02-07 14:38:41,-21.2,-175.2,77.0,94,90,10.36
3,Westport,US,2021-02-07 14:38:42,41.1415,-73.3579,36.0,48,90,9.22
4,Dikson,RU,2021-02-07 14:38:42,73.5069,80.5464,-26.86,87,91,10.58
5,Rawson,AR,2021-02-07 14:35:11,-43.3002,-65.1023,60.46,53,31,13.82
6,Mataura,NZ,2021-02-07 14:38:43,-46.1927,168.8643,52.79,90,99,1.83
7,Albany,US,2021-02-07 14:38:43,42.6001,-73.9662,26.01,73,90,7.34
8,Deputatskiy,RU,2021-02-07 14:38:44,69.3,139.9,-30.08,86,0,0.81
9,Korla,CN,2021-02-07 14:38:44,41.7597,86.1469,34.34,71,96,9.17
10,Hilo,US,2021-02-07 14:38:45,19.7297,-155.09,66.2,59,75,6.91
11,Sioux Lookout,CA,2021-02-07 14:38:45,50.1001,-91.917,-25.6,68,75,9.22
12,Atuona,PF,2021-02-07 14:38:46,-9.8,-139.0333,78.93,76,39,21.21
13,Carnarvon,AU,2021-02-07 14:38:46,-24.8667,113.6333,80.6,100,40,13.8
14,Rikitea,PF,2021-02-07 14:38:46,-23.1203,-134.9692,77.05,73,92,10.58
15,Ballina,AU,2021-02-07 14:38:47,-28.8667,153.5667,77.0,78,90,9.22
16,Hobart,AU,2021-02-07 14:38:47,-42.8794,147.3294,55.4,58,90,5.75
17,Cabo San Lucas,MX,2021-02-07 14:38:47,22.8909,-109.9124,57.2,72,1,6.91
18,Ushuaia,AR,2021-02-07 14:37:58,-54.8,-68.3,55.4,54,20,17.27
19,Auki,SB,2021-02-07 14:38:49,-8.7676,160.7034,78.06,84,87,6.69
20,Upernavik,GL,2021-02-07 14:38:49,72.7868,-56.1549,18.82,81,29,2.53
21,Hasaki,JP,2021-02-07 14:38:49,35.7333,140.8333,42.8,61,20,3.44
22,Cape Town,ZA,2021-02-07 14:36:11,-33.9258,18.4232,73.99,46,0,26.46
23,Caravelas,BR,2021-02-07 14:38:50,-17.7125,-39.2481,84.13,76,94,7.52
24,Saint George,US,2021-02-07 14:38:50,37.1041,-113.5841,30.2,59,1,3.44
25,Port Elizabeth,ZA,2021-02-07 14:35:46,-33.918,25.5701,68.0,94,75,11.5
26,Tuktoyaktuk,CA,2021-02-07 14:38:51,69.4541,-133.0374,-20.2,76,90,19.57
27,Nikolskoye,RU,2021-02-07 14:38:51,59.7035,30.7861,15.8,86,75,15.66
28,Ribeira Grande,PT,2021-02-07 14:38:52,38.5167,-28.7,62.6,72,20,18.41
29,Santa Cecilia,BR,2021-02-07 14:38:52,-26.9608,-50.4269,77.11,25,0,5.06
30,Jacareacanga,BR,2021-02-07 14:38:53,-6.2222,-57.7528,86.04,70,96,2.64
31,Magdagachi,RU,2021-02-07 14:38:53,53.45,125.8,-14.1,88,75,4.23
32,Chokurdakh,RU,2021-02-07 14:38:53,70.6333,147.9167,-28.41,84,53,1.95
33,Los Llanos De Aridane,ES,2021-02-07 14:38:54,28.6585,-17.9182,66.2,63,75,12.66
34,Lebanon,US,2021-02-07 14:38:54,36.2081,-86.2911,30.99,86,90,11.5
35,Piranhas,BR,2021-02-07 14:38:55,-16.4269,-51.8222,79.59,78,78,6.02
36,Khatanga,RU,2021-02-07 14:38:55,71.9667,102.5,-31.67,79,0,9.17
37,Bereda,ES,2021-02-07 14:38:55,43.2686,-7.5406,45.0,99,100,15.99
38,Ponta Do Sol,PT,2021-02-07 14:38:56,32.6667,-17.1,64.99,65,97,5.01
39,Felipe Carrillo Puerto,MX,2021-02-07 14:38:56,19.5833,-88.05,78.28,87,100,0.78
